Restaurante ID,Nombre,Ciudad,Direccion,Localidad,Comida,Delivery,Rango precio,Rating texto,Votos
6309903,Silantro Fil-Mex,Pasig City,"75 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Filipino, Mexican",No,3,Excellent,1070.0
6309455,Mad Mark's Creamery & Good Eats,Pasig City,"23 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"American, Ice Cream, Desserts",No,3,Very Good,488.0
6318433,Silantro Fil-Mex,Quezon City,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City","UP Town Center, Diliman, Quezon City","Filipino, Mexican",No,3,Excellent,294.0
6310470,Guevarra's,San Juan City,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",Addition Hills,Filipino,No,3,Very Good,458.0
6314605,Sodam Korean Restaurant,San Juan City,"17 J. Abad Santos Drive, Little Baguio, San Juan City",Little Baguio,Korean,No,3,Very Good,223.0
18185059,Cafe Arabelle,Santa Rosa,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa","Cafe, American, Italian, Filipino",No,3,Good,29.0
18182702,Nonna's Pasta & Pizzeria,Santa Rosa,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa","Italian, Pizza",No,3,Very Good,72.0
6318213,Balay Dako,Tagaytay City,"Aguinaldo Highway, Tagaytay City",Tagaytay City,Filipino,No,3,Excellent,211.0
18255654,Hobing Korean Dessert Cafe,Taguig City,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City","BGC Stopover Pavillion, Bonifacio Global City","Cafe, Korean, Desserts",No,2,Excellent,118.0
6308205,Wildflour Cafe + Bakery,Taguig City,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",Bonifacio Global City,"Cafe, Bakery, American, Italian",No,4,Very Good,392.0
6315438,NIU by Vikings,Taguig City,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","Seafood, American, Mediterranean, Japanese",No,4,Excellent,535.0
6310406,The Food Hall by Todd English,Taguig City,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","American, Asian, Italian, Seafood",No,4,Excellent,618.0
6600681,Chez Michou,Brasí_lia,"SCLN, 208, Bloco A, Loja 30, Asa Norte, Brasí_lia",Asa Norte,"Fast Food, French",No,2,Average,6.0
6601005,Cafí© Daniel Briand,Brasí_lia,"SCLN 104, Bloco A, Loja 26, Asa Norte, Brasí_lia",Asa Norte,Cafe,No,1,Good,9.0
6600292,Casa do Biscoito Mineiro,Brasí_lia,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, Brasí_lia",Asa Norte,Bakery,No,2,Good,11.0
6600441,Maori,Brasí_lia,"CLN 110, Bloco D, Loja 28, Asa Norte, Brasí_lia",Asa Norte,Brazilian,No,3,Good,11.0
6600970,Pizza íæ Bessa,Brasí_lia,"SCS 214, Bloco C, Loja 40, Asa Sul, Brasí_lia",Asa Sul,Pizza,No,2,Average,11.0
6600379,Sushi Loko,Brasí_lia,"SCS 213, Bloco C, Loja 35, Asa Sul, Brasí_lia",Asa Sul,Japanese,No,3,Average,10.0
6600214,Beirute,Brasí_lia,"CLS 109, Bloco A, Loja 2/6, Asa Sul, Brasí_lia",Asa Sul,Arabian,No,3,Good,8.0
6601218,New Koto,Brasí_lia,"SCS 212, Bloco B, Loja 26, Asa Sul, Brasí_lia",Asa Sul,Japanese,No,4,Good,5.0
6600060,Sandubas Cafí©,Brasí_lia,"Edifí_cio Josí© Severo, SCS 6, Bloco A, Loja 99, Asa Sul, Brasí_lia",Asa Sul,"Brazilian, Cafe",No,1,Not rated,2.0
6600083,Villa Tevere,Brasí_lia,"CLS 115, Bloco A, Loja 2, Asa Sul, Brasí_lia",Asa Sul,Italian,No,4,Very Good,12.0
6601515,Rovereto,Brasí_lia,"Rua 13 Norte, Lote 4, íguas Claras, Brasí_lia",íguas Claras,Pizza,No,4,Average,9.0
6601361,Buena Carne,Brasí_lia,"Avenida Araucíçrias, 1325, Loja 19, íguas Claras, Brasí_lia",íguas Claras,"Bar Food, Brazilian",No,3,Good,9.0
6601602,Taco Pep,Brasí_lia,"Vila Malls, Avenida das Castanheiras, Lote 1060, í€guas Claras, Brasí_lia",íguas Claras,"Mexican, Grill",No,4,Very Good,29.0
6601589,Coco Bambu,Brasí_lia,"Brasí_lia Shopping - Piso 2, SCN 5, Bloco A, Asa Norte, Brasí_lia","Brasí_lia Shopping, Asa Norte",International,No,4,Very Good,17.0
6601862,Taypíç,Brasí_lia,"Fashion Park, Shis Ql 17, Bloco G, Loja 208, Lago Sul, Brasí_lia",Lago Sul,"Peruvian, Latin American",No,4,Good,5.0
6601595,Outback Steakhouse,Brasí_lia,"ParkShopping - Piso 2, SAI/SO, írea 6580, Guaríç I, Brasí_lia","ParkShopping, Guaríç I","American, Grill",No,4,Very Good,10.0
6601158,Manzuíç,Brasí_lia,"Pontí£o Lago Sul, SHIS 10, Lote 9, Lago Sul, Brasí_lia","Pontí£o Lago Sul, Lago Sul",Seafood,No,4,Average,6.0
6600427,Coco Bambu,Brasí_lia,"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, Brasí_lia",Setor De Clubes Esportivos Sul,International,No,4,Excellent,30.0
6600116,Gero,Brasí_lia,"Shopping Iguatemi - piso 1, SHIN CA 4, Lote A, Lago Norte, Brasí_lia","Shopping Iguatemi, Lago Norte",Italian,No,4,Average,8.0
6601457,Brazilian American Burgers,Brasí_lia,"CLSN 301, Bloco C, Loja 86, Sudoeste, Brasí_lia",Sudoeste,"American, Burger",No,2,Good,9.0
7303219,Pesqueiro Eco Gourmet,Rio de Janeiro,"Praia da Barra da Tijuca, Avenida Lí_cio Costa, Ilha 25, Barra da Tijuca, Rio de Janeiro",Barra da Tijuca,"Seafood, Bar Food, Brazilian",No,4,Very Good,7.0
7304307,Confeitaria Colombo,Rio de Janeiro,"Rua Goní_alves Dias, 32, Centro, Rio de Janeiro",Centro,"Desserts, Cafe",No,4,Excellent,29.0
7301215,Bibi,Rio de Janeiro,"Rua Santa Clara, 36, Copabana, Rio de Janeiro",Copacabana,"Juices, Healthy Food",No,3,Excellent,24.0
7300596,Cervantes,Rio de Janeiro,"Avenida Prado Junior, 335 B, Copacabana, Rio de Janeiro",Copacabana,"Beverages, Bar Food, Fast Food",No,3,Excellent,29.0
7300612,Amir,Rio de Janeiro,"Rua Ronald de Carvalho, 55, Copacabana, Rio de Janeiro",Copacabana,Lebanese,No,4,Very Good,11.0
7300704,TT Burger,Rio de Janeiro,"Galeria River, Rua Francisco Otaviano, 67, Copacabana, Rio de Janeiro","Galeria River, Copacabana",Burger,No,3,Excellent,19.0
7300955,Braseiro da Gíçvea,Rio de Janeiro,"Praí_a Santos Dumont, 116, Gíçvea, Rio de Janeiro",Gíçvea,"Brazilian, Bar Food",No,4,Excellent,40.0
7300521,Balada Mix,Rio de Janeiro,"Rua Aní_bal de Mendoní_a, 37, Ipanema, Rio de Janeiro",Ipanema,"Brazilian, Healthy Food, Juices, Pizza",No,3,Excellent,21.0
7300515,Garota de Ipanema,Rio de Janeiro,"Rua Vinicius de Moraes, 49, Ipanema, Rio de Janeiro",Ipanema,"Brazilian, Bar Food",No,4,Excellent,49.0
7300483,Zazíç BistríÇ Tropical,Rio de Janeiro,"Rua Joana Angí©lica, 40, Ipanema, Rio de Janeiro",Ipanema,Brazilian,No,4,Excellent,21.0
7301064,Filí© de Ouro,Rio de Janeiro,"Rua Jardim Botí¢nico, 731, Jardim Botí¢nico, Lagoa, Rio de Janeiro",Lagoa,Brazilian,No,3,Very Good,14.0
7304312,D.O.C Ristorante,Rio de Janeiro,"Le Monde, Bloco 3, Lojas A/B, Avenida das Amí©ricas, 3500, Barra da Tijuca, Rio de Janeiro","Le Monde, Barra da Tijuca",Italian,No,4,Very Good,5.0
7300004,Sushi Leblon,Rio de Janeiro,"Rua Dias Ferreira, 256, Leblon, Rio de Janeiro",Leblon,Japanese,No,4,Excellent,25.0
7300868,Talho Capixaba,Rio de Janeiro,"Avenida Ataulfo de Paiva, 1022, Lojas A e B, Leblon, Rio de Janeiro",Leblon,"Bakery, Sandwich, Brazilian",No,4,Very Good,13.0
7302637,Leme Light,Rio de Janeiro,"Rua Gustavo Sampaio, 798, Leme, Rio de Janeiro",Leme,Brazilian,No,2,Very Good,7.0
7302140,Shirley,Rio de Janeiro,"Rua Gustavo Sampaio, 610, Leme, Rio de Janeiro",Leme,"Brazilian, Seafood",No,4,Very Good,8.0
7305048,Quiosque Chopp Brahma,Rio de Janeiro,"Madureira Shopping - Loja 289/290, Piso 2, Estrada do Portela, 222, Madureira, Rio de Janeiro, RJ",Madureira,"Bar Food, Brazilian",No,3,Not rated,1.0
7302898,Aprazí_vel,Rio de Janeiro,"Rua Aprazí_vel, 62, Santa Teresa, Rio de Janeiro",Santa Teresa,Brazilian,No,4,Excellent,44.0
7302859,Aconchego Carioca,Rio de Janeiro,"Rua Barí£o de Iguatemi, 379, Tijuca, Rio de Janeiro",Tijuca,"Brazilian, Bar Food",No,3,Excellent,24.0
7301700,Garota de Ipanema,Rio de Janeiro,"Avenida Joí£o Alves, 56, Urca, Rio de Janeiro",Urca,"Brazilian, Bar Food",No,3,Very Good,10.0
6706313,Cantina Famiglia Mancini,Sí£o Paulo,"Rua Avanhandava, 81, Bela Vista, Sí£o Paulo 10000","Bela Vista, Centro","Italian, Pizza",No,4,Excellent,49.0
6704326,Templo da Carne - Marcos Bassi,Sí£o Paulo,"Rua Treze de Maio, 668, Bela Vista, Sí£o Paulo 01327000","Bela Vista, Centro","Steak, BBQ",No,4,Very Good,17.0
6711179,Gopala Hari,Sí£o Paulo,"Rua Antonio Carlos, 429, Consolaí_í£o, Sí£o Paulo",Consolaí_í£o,Indian,No,3,Average,5.0
6702797,Jiquitaia,Sí£o Paulo,"Rua AntíÇnio Carlos, 268, Consolaí_í£o, Sí£o Paulo",Consolaí_í£o,Brazilian,No,4,Very Good,15.0
6700475,Skye - Hotel Unique,Sí£o Paulo,"Hotel Unique, Avenida Brigadeiro Luí_s AntíÇnio, 4700, Jardim Paulista, Sí£o Paulo","Hotel Unique, Jardim Paulista","Beverages, International",No,4,Excellent,59.0
6713413,Les 3 Brasseurs,Sí£o Paulo,"Rua Jesuí_no Arruda, 470, Itaim Bibi, Sí£o Paulo",Itaim Bibi,"French, Brazilian, Beverages",No,4,Excellent,30.0
6714340,Red Steak & Burger,Sí£o Paulo,"Rua Tabapuí£, 1417, Itaim Bibi, Sí£o Paulo",Itaim Bibi,"Brazilian, Grill",No,3,Good,5.0
6710645,Cantinho da Gula,Sí£o Paulo,"Rua Pedroso Alvarenga, 522, Itaim Bibi, Sí£o Paulo, SP",Itaim Bibi,Brazilian,No,2,Not rated,0.0
6700402,Paris 6 Classique,Sí£o Paulo,"Rua Haddock Lobo, 1240, Cerqueira Cí©sar, Jardim Paulista, Sí£o Paulo",Jardim Paulista,French,No,4,Average,73.0
6700846,Kawa Sushi,Sí£o Paulo,"Alameda Lorena, 300, Jardim Paulista, Sí£o Paulo",Jardim Paulista,"Sushi, Japanese",No,4,Good,9.0
6702159,A Figueira Rubaiyat,Sí£o Paulo,"Rua Haddock Lobo, 1738, Cerqueira Cí©sar, Jardim Paulista, Sí£o Paulo 10000",Jardim Paulista,"BBQ, Grill, Brazilian",No,4,Very Good,39.0
6711666,Kinoshita,Sí£o Paulo,"Rua Jacques Fí©lix, 405, Vila Nova Conceií_í£o, Moema, Sí£o Paulo",Moema,Sushi,No,4,Good,12.0
6701257,Meats,Sí£o Paulo,"Rua dos Pinheiros, 320, Pinheiros, Sí£o Paulo",Pinheiros,"Gourmet Fast Food, Burger",No,4,Very Good,68.0
6706211,Paribar,Sí£o Paulo,"Praí_a Dom Josí© Gaspar, 42, Repí_blica, Sí£o Paulo 10000",Repí_blica,"Brazilian, Italian",No,4,Very Good,46.0
6705858,Terraí_o Itíçlia,Sí£o Paulo,"Edifí_cio Itíçlia - 41ŒÁ Andar, Avenida Ipiranga, 344, Repí_blica, Sí£o Paulo",Repí_blica,Italian,No,4,Very Good,37.0
6701419,Divino Fogí£o,Sí£o Paulo,"Shopping MetríÇ Santa Cruz - Piso L2, Rua Domingos de Morais, 2564, Vila Mariana, Sí£o Paulo","Shopping MetríÇ Santa Cruz, Vila Mariana","Brazilian, Mineira",No,3,Not rated,2.0
6703956,Super Grill,Sí£o Paulo,"Shopping Morumbi - Piso Lazer, Avenida Roque Petroni Jí_nior, 1089, Santo Amaro, Sí£o Paulo","Shopping Morumbi, Santo Amaro",Brazilian,No,2,Not rated,2.0
6709580,Esquina Mocotí_,Sí£o Paulo,"Avenida Nossa Senhora do Loreto, 1104, Vila Medeiros, Vila Maria, Sí£o Paulo",Vila Maria,"Brazilian, North Eastern",No,4,Very Good,22.0
6703176,Veloso,Sí£o Paulo,"Rua Conceií_í£o Veloso, 56, Vila Mariana, Sí£o Paulo",Vila Mariana,"Brazilian, Bar Food, Beverages",No,3,Excellent,58.0
6713772,Sainte Marie Gastronomia,Sí£o Paulo,"Rua Dom Joí£o Batista da Costa, 70, Vila SíÇnia, Sí£o Paulo",Vila SíÇnia,"Lebanese, Arabian",No,4,Very Good,11.0
17284404,Austin's BBQ and Oyster Bar,Albany,"2820 Meredyth Dr, Albany, GA 31707",Albany,"BBQ, Burger, Seafood",No,2,Average,35.0
17284203,BJ's Country Buffet,Albany,"2401 Dawson Rd, Albany, GA 31707",Albany,"American, BBQ",No,1,Average,25.0
17284105,Cookie Shoppe,Albany,"115 N Jackson St, Albany, GA 31701",Albany,,No,1,Average,34.0
17284302,El Vaquero Mexican Restaurant,Albany,"2700 Dawson Rd, Albany, GA 31707",Albany,Mexican,No,1,Average,45.0
17284397,Elements Coffee Co - Northwest,Albany,"2726 Ledo Rd Ste 10, Albany, GA 31707",Albany,"Coffee and Tea, Sandwich",No,1,Average,26.0
17284211,Pearly's Famous Country Cookng,Albany,"814 N Slappey Blvd, Albany, GA 31701",Albany,,No,1,Average,36.0
17284094,Chick-fil-A,Albany,"2703 Dawson Rd, Albany, GA 31707",Albany,Fast Food,No,1,Good,67.0
17284409,Guang Zhou Chinese Restaurant,Albany,"1214 N Westover Blvd, Albany, GA 31707",Albany,"Asian, Chinese, Vegetarian",No,1,Good,141.0
17284139,Harvest Moon,Albany,"2347 Dawson Road, Albany, GA 31707",Albany,"Pizza, Bar Food, Sandwich",No,2,Good,147.0
17284403,Henry Campbell's Steakhouse,Albany,"629 N. Westover Blvd, Albany, GA 31707",Albany,"Steak, Tapas, Bar Food",No,4,Good,51.0
17284145,Hong Kong Cafe,Albany,"2700 Dawson Rd, Albany, GA 31707",Albany,"Chinese, Seafood, Vegetarian",No,2,Good,88.0
17284150,House of China Restaurant II,Albany,"2526 Dawson Rd Ste A, Albany, GA 31707",Albany,Chinese,No,1,Good,153.0
17284158,Jimmie's Hot Dogs,Albany,"204 S Jackson St, Albany, GA 31701",Albany,,No,1,Good,160.0
17284175,Locos Grill & Pub,Albany,"547 N Westover Blvd, Albany, GA 31707",Albany,"American, Burger, Sandwich",No,2,Good,57.0
17284179,Longhorn Steakhouse,Albany,"2733 Dawson Rd, Albany, GA 31707",Albany,"American, Steak",No,2,Good,58.0
17284197,Mikata Japanese Steakhouse,Albany,"2610 Dawson Rd, Albany, GA 31707",Albany,"Japanese, Steak, Sushi",No,3,Good,115.0
17284241,Shogun Japanese Steak House,Albany,"629 N Westover Blvd, Albany, GA 31707",Albany,"Japanese, Steak, Sushi",No,3,Good,51.0
17284390,The Catch Seafood Room & Oyster Bar,Albany,"2332 Whispering Pines Road, Albany, GA 31707",Albany,"Seafood, Tapas, Bar Food",No,3,Good,250.0
17284279,Villa Gargano,Albany,"1604 N Slappey Blvd, Albany, GA 31701",Albany,"Italian, Pizza",No,1,Good,117.0
17284364,3 Squares Diner,Albany,"202 W Franklin St, Sylvester, GA 31791",Sylvester,"American, Breakfast, Diner",No,1,Average,20.0
16611114,Whitebull Hotel,Armidale,"117 Marsh St, Armidale, NSW",Armidale,"Bar Food, Steak",No,2,Good,25.0
17293281,Last Resort Grill,Athens,"184 W Clayton St, Athens, GA 30601",Athens,"American, Southern, Southwestern",No,3,Excellent,1821.0
17293301,Mama's Boy Restaurant,Athens,"197 Oak St, GA 30601",Athens,Southern,No,1,Excellent,849.0
17293409,Sr. Sol 1,Athens,"175 Tallassee Rd, Athens, GA 30606",Athens,Mexican,No,1,Excellent,917.0
17293163,Choo Choo Eastside,Athens,"1055 Gaines School Rd Ste 100, Athens, GA 30605",Athens,"Japanese, Korean",No,1,Good,439.0
17293228,The Grill,Athens,"171 College Ave, Athens, GA 30601",Athens,"Breakfast, Burger, Sandwich",No,1,Good,289.0
17293880,Big City Bread Cafe,Athens,"393 N Finley St, Athens, GA 30601",Athens,"Breakfast, Sandwich",No,1,Very Good,558.0
17293169,Clocked,Athens,"259 W Washington St, Athens, GA 30601",Athens,"American, Burger, Sandwich",No,1,Very Good,613.0
17293186,DePalma's Italian Cafe - Downtown,Athens,"401 E Broad St, Athens, GA 30601",Athens,"American, Italian, Pizza",No,2,Very Good,353.0
17293180,DePalma's Italian Cafe - East Side,Athens,"1965 Barnett Shoals Rd, Athens, GA 30605",Athens,"American, Italian, Pizza",No,2,Very Good,387.0
17293205,Five & Ten,Athens,"1073 South Milledge Ave, Athens, GA 30605",Athens,American,No,3,Very Good,755.0
17293229,Grit,Athens,"199 Prince Ave, Athens, GA 30601",Athens,"International, Southern, Vegetarian",No,1,Very Good,800.0
17293897,Ike & Jane,Athens,"1307 Prince Ave, Athens, GA 30606",Athens,Sandwich,No,1,Very Good,350.0
17293273,La Dolce Vita Ristorante,Athens,"323 E Broad St, Athens, GA 30601",Athens,Italian,No,3,Very Good,464.0
17293870,Shokitini,Athens,"251 W Clayton St, Athens, GA 30601",Athens,"Asian, Japanese, Sushi",No,2,Very Good,550.0
17293877,Taqueria Del Sol,Athens,"334 Prince Ave, Athens, GA 30601",Athens,"Mexican, Spanish",No,1,Very Good,543.0
17293890,The National,Athens,"232 W. Hancock Ave., Athens, GA 30601",Athens,"International, Southern",No,3,Very Good,465.0
17293915,The Royal Peasant,Athens,"1675 S. Lumpkin St., Athens, GA 30606",Athens,Bar Food,No,1,Very Good,546.0
17293422,Transmetropolitan,Athens,"145 E Clayton St, Athens, GA 30601",Athens,"Italian, Pizza, Sandwich",No,1,Very Good,1098.0
17293873,Trappeze Pub,Athens,"269 N Hull St, Athens, GA 30601",Athens,"Burger, Bar Food",No,2,Very Good,579.0
17294014,Viva! Argentine Cuisine,Athens,"247 Prince Ave, Athens, GA 30601",Athens,"Desserts, Latin American, Argentine",No,1,Very Good,374.0
17294556,Miyabi Kyoto Japanese Steak House,Augusta,"1315 Augusta West Pkwy, Augusta, GA 30909",Augusta,"Chinese, Steak",No,3,Excellent,717.0
17294607,Rae's Coastal Cafe,Augusta,"3208 W Wimbledon Dr, Augusta, GA 30909",Augusta,"American, Caribbean, Seafood",No,3,Excellent,548.0
17294279,The Bee's Knees,Augusta,"211 10th Street, Augusta, GA 30901",Augusta,"International, Tapas, Vegetarian",No,2,Excellent,631.0
17294300,Boll Weevil Cafe,Augusta,"10 9th St, Augusta, GA 30901",Augusta,"Desserts, Sandwich, Southern",No,1,Good,372.0
17295215,Farmhaus Burger,Augusta,"1204 Broad St, Augusta, GA 30901",Augusta,"American, Burger",No,2,Good,201.0
17295028,Manuel's Bread Cafe,Augusta,"505 Railroad Ave, North Augusta, GA 29841",Augusta,"Breakfast, French",No,3,Good,332.0
17294642,Sconyers Bar B Que,Augusta,"2250 Sconyers Way, Augusta, GA 30906",Augusta,BBQ,No,2,Good,304.0
17295109,Frog Hollow Tavern,Augusta,"1282 broad street, Augusta, GA 30901",Augusta,American,No,3,Very Good,368.0
17294441,Giuseppe's Pizza & Italian Specialities,Augusta,"3690 Wheeler Rd, Augusta, GA 30909",Augusta,"Desserts, Italian, Pizza",No,2,Very Good,430.0
17294552,Mellow Mushroom,Augusta,"1167 Broad St, Augusta, GA 30901",Augusta,"Italian, Pizza, Sandwich",No,2,Very Good,433.0
17294565,Nacho Mamas Burritos,Augusta,"976 Broad St, Augusta, GA 30901",Augusta,Mexican,No,1,Very Good,380.0
17294623,Rhinehart's Oyster Bar,Augusta,"3051 Washington Rd, Augusta, GA 30907",Augusta,"Bar Food, Sandwich, Seafood",No,2,Very Good,456.0
17294712,Takosushi,Augusta,"437 Highland Ave, Augusta, GA 30909",Augusta,"Mexican, Southwestern, Sushi",No,3,Very Good,647.0
17295033,The Chop House,Augusta,"Augusta Mall, Augusta, GA 30909",Augusta,Steak,No,3,Very Good,360.0
17295069,The Taj of India,Augusta,"502 Furys Ferry Rd, Augusta, GA 30907",Augusta,Indian,No,2,Very Good,227.0
17294261,Augsburg Haus,Augusta,"4460 Washington Road, Evans, GA 30809",Evans,German,No,2,Good,290.0
17295115,Pho Bac,Augusta,"4300 Towne Centre, Evans, GA 30809",Evans,Vietnamese,No,1,Very Good,270.0
17294836,Rhinehart's Oyster Bar,Augusta,"303 North Bel Air Rd, Evans, GA 30809",Evans,"Burger, Seafood",No,2,Very Good,326.0
17294850,Thai Kitchen,Augusta,"4357 Washington Road, Evans, GA 30809",Evans,Thai,No,3,Very Good,317.0
17294883,El Kiosco Mexican Restaurant,Augusta,"5174 Wrightsboro Rd, Grovetown, GA 30813",Grovetown,Mexican,No,1,Very Good,300.0
16608864,Taste of Balingup,Balingup,"63 South Western Hwy, Balingup, WA",Balingup,Modern Australian,No,2,Average,21.0
16604911,Bridge Road Brewers,Beechworth,"Old Coach House 50 Ford St, Beechworth, Beechworth, VIC",Beechworth,"Pizza, Bar Food",No,2,Excellent,237.0
17303465,Bardenay,Boise,"610 W Grove St, Boise, ID 83702",Boise,"American, Bar Food",No,2,Excellent,879.0
17303642,Flatbread Neapolitan Pizzeria,Boise,"800 W Main Suite 230, Boise, ID 83702",Boise,"Italian, Pizza",No,2,Excellent,615.0
17303670,Goldy's Breakfast Bistro,Boise,"108 S Capitol Blvd, Boise, ID 83702",Boise,"Breakfast, Sandwich",No,2,Excellent,879.0
17303545,Chandlers Steakhouse,Boise,"981 W Grove St, Boise, ID 83702",Boise,"American, Seafood, Steak",No,4,Good,379.0
17303655,Bar Gernika Basque Pub & Eatery,Boise,"202 S Capitol Blvd, Boise, ID 83702",Boise,"European, Spanish",No,1,Very Good,303.0
17304691,Barbacoa Restaurant,Boise,"276 Bobwhite Ct, Boise, ID 83706",Boise,"Latin American, Steak",No,4,Very Good,538.0
17303478,Big Jud's,Boise,"1289 Protest Rd, Boise, ID 83706",Boise,"American, Burger, Sandwich",No,1,Very Good,334.0
17303480,Bittercreek Ale House,Boise,"246 N 8th St, Boise, ID 83702",Boise,"American, Bar Food",No,2,Very Good,555.0
17304733,Boise Fry Company,Boise,"204 N Capitol Blvd, Boise, ID 83702",Boise,"American, Burger",No,1,Very Good,823.0
17303646,Flying Pie Pizzaria,Boise,"6508 W Fairview Ave, Boise, ID 83704",Boise,Pizza,No,2,Very Good,550.0
17304929,Fork,Boise,"199 N 8th St, Boise, ID 83702",Boise,"American, Burger",No,2,Very Good,650.0
17303684,Guido's Original New York Style Pizza,Boise,"235 N 5th St, Boise, ID 83702",Boise,Pizza,No,1,Very Good,410.0
17303772,Los Beto's,Boise,"5220 W Fairview Ave, Boise, ID 83706",Boise,Mexican,No,1,Very Good,660.0
17305123,Lucianos Italian Restaurant,Boise,"11 N Orchard St, Boise, ID 83706",Boise,"Italian, Seafood, Vegetarian",No,2,Very Good,360.0
17303787,Mai Thai Restaurant,Boise,"750 W Idaho St, Boise, ID 83702",Boise,"Sushi, Thai",No,3,Very Good,340.0
17303990,Shige Japanese Cuisine,Boise,"100 N 8th St, Boise, ID 83702",Boise,"Japanese, Sushi, Teriyaki",No,2,Very Good,393.0
17304741,The Egg Factory,Boise,"8061 W Fairview Ave, Boise, ID 83704",Boise,Breakfast,No,1,Very Good,422.0
17304726,Tucanos,Boise,"1388 S Entertainment Ave, Boise, ID 83709",Boise,Brazilian,No,3,Very Good,435.0
17304486,Texas Roadhouse,Boise,"3801 E Fairview Avenue, Meridian, Boise, ID 83642",Meridian,"American, BBQ, Steak",No,2,Very Good,369.0
17304533,Brick 29,Boise,"320 11th Avenue S, Nampa, ID 83651",Nampa,American,No,3,Very Good,487.0
17316233,Winifreds,Cedar Rapids/Iowa City,"3847 1st Ave SE, Cedar Rapids, IA 52402",Cedar Rapids,"American, Mediterranean, Seafood",No,3,Good,98.0
17315883,Biaggi's Ristorante Italiano,Cedar Rapids/Iowa City,"320 Collins Rd NE, Cedar Rapids, IA 52402",Cedar Rapids,"Italian, Pizza",No,3,Very Good,365.0
17315995,El Super Burrito,Cedar Rapids/Iowa City,"3300 Johnson Ave NW, Cedar Rapids, IA 52405",Cedar Rapids,Mexican,No,1,Very Good,190.0
17316018,Granite City Food & Brewery,Cedar Rapids/Iowa City,"4755 1st Ave SE, Cedar Rapids, IA 52402",Cedar Rapids,"American, Breakfast, Burger",No,3,Very Good,429.0
17316038,Irish Democrat,Cedar Rapids/Iowa City,"3207 1st Ave SE, Cedar Rapids, IA 52402",Cedar Rapids,"American, BBQ, Burger",No,2,Very Good,430.0
